run,T,repetition,module,name,value
queueLengthContinuityTest-87-20260130-16:06:44-91874,0.014s,17,System.oracle,AvgQLStat:mean,644.42622222222
queueLengthContinuityTest-88-20260130-16:06:44-91875,0.014s,18,System.oracle,AvgQLStat:mean,636.84688888889
queueLengthContinuityTest-89-20260130-16:06:44-91876,0.014s,19,System.oracle,AvgQLStat:mean,641.25911111111
queueLengthContinuityTest-90-20260130-16:06:45-91877,0.014s,20,System.oracle,AvgQLStat:mean,639.43333333333
queueLengthContinuityTest-91-20260130-16:06:45-91878,0.014s,21,System.oracle,AvgQLStat:mean,642.14377777778
queueLengthContinuityTest-92-20260130-16:06:45-91879,0.014s,22,System.oracle,AvgQLStat:mean,637.27311111111
queueLengthContinuityTest-93-20260130-16:06:45-91880,0.014s,23,System.oracle,AvgQLStat:mean,637.36044444444
queueLengthContinuityTest-94-20260130-16:06:46-91881,0.014s,24,System.oracle,AvgQLStat:mean,642.76933333333
queueLengthContinuityTest-95-20260130-16:06:46-91882,0.014s,25,System.oracle,AvgQLStat:mean,642.04444444444
queueLengthContinuityTest-96-20260130-16:06:46-91883,0.014s,26,System.oracle,AvgQLStat:mean,644.96111111111
queueLengthContinuityTest-97-20260130-16:06:46-91884,0.014s,27,System.oracle,AvgQLStat:mean,646.40977777778
queueLengthContinuityTest-98-20260130-16:06:46-91885,0.014s,28,System.oracle,AvgQLStat:mean,635.35133333333
queueLengthContinuityTest-99-20260130-16:06:47-91886,0.014s,29,System.oracle,AvgQLStat:mean,639.86733333333
queueLengthContinuityTest-100-20260130-16:06:47-91887,0.014s,30,System.oracle,AvgQLStat:mean,634.696
queueLengthContinuityTest-101-20260130-16:06:47-91888,0.014s,31,System.oracle,AvgQLStat:mean,645.57555555556
queueLengthContinuityTest-102-20260130-16:06:47-91889,0.014s,32,System.oracle,AvgQLStat:mean,645.51844444444
queueLengthContinuityTest-103-20260130-16:06:47-91890,0.014s,33,System.oracle,AvgQLStat:mean,639.75355555556
queueLengthContinuityTest-104-20260130-16:06:48-91891,0.014s,34,System.oracle,AvgQLStat:mean,646.36333333333
queueLengthContinuityTest-35-20260130-16:06:33-91818,0.015s,0,System.oracle,AvgQLStat:mean,588.27933333333
queueLengthContinuityTest-36-20260130-16:06:34-91819,0.015s,1,System.oracle,AvgQLStat:mean,591.43977777778
queueLengthContinuityTest-37-20260130-16:06:34-91820,0.015s,2,System.oracle,AvgQLStat:mean,584.64577777778
queueLengthContinuityTest-38-20260130-16:06:34-91821,0.015s,3,System.oracle,AvgQLStat:mean,589.742
queueLengthContinuityTest-39-20260130-16:06:34-91822,0.015s,4,System.oracle,AvgQLStat:mean,599.51777777778
queueLengthContinuityTest-40-20260130-16:06:34-91823,0.015s,5,System.oracle,AvgQLStat:mean,602.79622222222
queueLengthContinuityTest-41-20260130-16:06:35-91824,0.015s,6,System.oracle,AvgQLStat:mean,586.42733333333
queueLengthContinuityTest-42-20260130-16:06:35-91825,0.015s,7,System.oracle,AvgQLStat:mean,593.88044444444
queueLengthContinuityTest-43-20260130-16:06:35-91826,0.015s,8,System.oracle,AvgQLStat:mean,599.57244444444
queueLengthContinuityTest-44-20260130-16:06:35-91827,0.015s,9,System.oracle,AvgQLStat:mean,592.08244444444
queueLengthContinuityTest-45-20260130-16:06:35-91828,0.015s,10,System.oracle,AvgQLStat:mean,589.70488888889
queueLengthContinuityTest-46-20260130-16:06:36-91829,0.015s,11,System.oracle,AvgQLStat:mean,595.77666666667
queueLengthContinuityTest-47-20260130-16:06:36-91830,0.015s,12,System.oracle,AvgQLStat:mean,592.46711111111
queueLengthContinuityTest-48-20260130-16:06:36-91831,0.015s,13,System.oracle,AvgQLStat:mean,598.22377777778
queueLengthContinuityTest-49-20260130-16:06:36-91833,0.015s,14,System.oracle,AvgQLStat:mean,595.73622222222
queueLengthContinuityTest-50-20260130-16:06:36-91834,0.015s,15,System.oracle,AvgQLStat:mean,582.85044444444
queueLengthContinuityTest-51-20260130-16:06:37-91835,0.015s,16,System.oracle,AvgQLStat:mean,597.59666666667
queueLengthContinuityTest-52-20260130-16:06:37-91836,0.015s,17,System.oracle,AvgQLStat:mean,596.70088888889
queueLengthContinuityTest-53-20260130-16:06:37-91837,0.015s,18,System.oracle,AvgQLStat:mean,588.49866666667
queueLengthContinuityTest-54-20260130-16:06:37-91838,0.015s,19,System.oracle,AvgQLStat:mean,594.56088888889
queueLengthContinuityTest-55-20260130-16:06:37-91839,0.015s,20,System.oracle,AvgQLStat:mean,590.88555555556
queueLengthContinuityTest-56-20260130-16:06:38-91840,0.015s,21,System.oracle,AvgQLStat:mean,595.64155555556
queueLengthContinuityTest-57-20260130-16:06:38-91841,0.015s,22,System.oracle,AvgQLStat:mean,590.28622222222
queueLengthContinuityTest-58-20260130-16:06:38-91842,0.015s,23,System.oracle,AvgQLStat:mean,592.48866666667
queueLengthContinuityTest-59-20260130-16:06:38-91843,0.015s,24,System.oracle,AvgQLStat:mean,593.94488888889
queueLengthContinuityTest-60-20260130-16:06:38-91844,0.015s,25,System.oracle,AvgQLStat:mean,594.88955555556
queueLengthContinuityTest-61-20260130-16:06:39-91845,0.015s,26,System.oracle,AvgQLStat:mean,598.35733333333
queueLengthContinuityTest-62-20260130-16:06:39-91846,0.015s,27,System.oracle,AvgQLStat:mean,598.22311111111
queueLengthContinuityTest-63-20260130-16:06:39-91848,0.015s,28,System.oracle,AvgQLStat:mean,586.43288888889
queueLengthContinuityTest-64-20260130-16:06:39-91849,0.015s,29,System.oracle,AvgQLStat:mean,592.494
queueLengthContinuityTest-65-20260130-16:06:40-91851,0.015s,30,System.oracle,AvgQLStat:mean,588.56711111111
queueLengthContinuityTest-66-20260130-16:06:40-91852,0.015s,31,System.oracle,AvgQLStat:mean,598.04311111111
queueLengthContinuityTest-67-20260130-16:06:40-91853,0.015s,32,System.oracle,AvgQLStat:mean,600.00355555556
queueLengthContinuityTest-68-20260130-16:06:40-91854,0.015s,33,System.oracle,AvgQLStat:mean,593.312
queueLengthContinuityTest-69-20260130-16:06:40-91855,0.015s,34,System.oracle,AvgQLStat:mean,599.44888888889
queueLengthContinuityTest-0-20260130-16:06:26-91770,0.016s,0,System.oracle,AvgQLStat:mean,548.442
queueLengthContinuityTest-1-20260130-16:06:26-91771,0.016s,1,System.oracle,AvgQLStat:mean,551.314
queueLengthContinuityTest-2-20260130-16:06:26-91772,0.016s,2,System.oracle,AvgQLStat:mean,544.66444444444
queueLengthContinuityTest-3-20260130-16:06:26-91773,0.016s,3,System.oracle,AvgQLStat:mean,550.16977777778
queueLengthContinuityTest-4-20260130-16:06:27-91774,0.016s,4,System.oracle,AvgQLStat:mean,559.59288888889
queueLengthContinuityTest-5-20260130-16:06:27-91775,0.016s,5,System.oracle,AvgQLStat:mean,561.25688888889
queueLengthContinuityTest-6-20260130-16:06:27-91777,0.016s,6,System.oracle,AvgQLStat:mean,546.54333333333
queueLengthContinuityTest-7-20260130-16:06:27-91778,0.016s,7,System.oracle,AvgQLStat:mean,552.19377777778
queueLengthContinuityTest-8-20260130-16:06:27-91779,0.016s,8,System.oracle,AvgQLStat:mean,559.34888888889
queueLengthContinuityTest-9-20260130-16:06:28-91780,0.016s,9,System.oracle,AvgQLStat:mean,551.75711111111
queueLengthContinuityTest-10-20260130-16:06:28-91781,0.016s,10,System.oracle,AvgQLStat:mean,547.98444444444
queueLengthContinuityTest-11-20260130-16:06:28-91782,0.016s,11,System.oracle,AvgQLStat:mean,554.42822222222
queueLengthContinuityTest-12-20260130-16:06:28-91783,0.016s,12,System.oracle,AvgQLStat:mean,552.34222222222
queueLengthContinuityTest-13-20260130-16:06:29-91784,0.016s,13,System.oracle,AvgQLStat:mean,556.61933333333
queueLengthContinuityTest-14-20260130-16:06:29-91785,0.016s,14,System.oracle,AvgQLStat:mean,555.55488888889
queueLengthContinuityTest-15-20260130-16:06:29-91786,0.016s,15,System.oracle,AvgQLStat:mean,543.24111111111
queueLengthContinuityTest-16-20260130-16:06:29-91787,0.016s,16,System.oracle,AvgQLStat:mean,556.18066666667
queueLengthContinuityTest-17-20260130-16:06:29-91789,0.016s,17,System.oracle,AvgQLStat:mean,557.35911111111
queueLengthContinuityTest-18-20260130-16:06:30-91790,0.016s,18,System.oracle,AvgQLStat:mean,551.01977777778
queueLengthContinuityTest-19-20260130-16:06:30-91791,0.016s,19,System.oracle,AvgQLStat:mean,553.22977777778
queueLengthContinuityTest-20-20260130-16:06:30-91792,0.016s,20,System.oracle,AvgQLStat:mean,551.42644444444
queueLengthContinuityTest-21-20260130-16:06:30-91793,0.016s,21,System.oracle,AvgQLStat:mean,555.66666666667
queueLengthContinuityTest-22-20260130-16:06:30-91794,0.016s,22,System.oracle,AvgQLStat:mean,548.43266666667
queueLengthContinuityTest-23-20260130-16:06:31-91795,0.016s,23,System.oracle,AvgQLStat:mean,550.28488888889
queueLengthContinuityTest-24-20260130-16:06:31-91797,0.016s,24,System.oracle,AvgQLStat:mean,553.96866666667
queueLengthContinuityTest-25-20260130-16:06:31-91800,0.016s,25,System.oracle,AvgQLStat:mean,553.288
queueLengthContinuityTest-26-20260130-16:06:31-91801,0.016s,26,System.oracle,AvgQLStat:mean,557.45177777778
queueLengthContinuityTest-27-20260130-16:06:32-91802,0.016s,27,System.oracle,AvgQLStat:mean,558.66333333333
queueLengthContinuityTest-28-20260130-16:06:32-91805,0.016s,28,System.oracle,AvgQLStat:mean,546.75044444444
queueLengthContinuityTest-29-20260130-16:06:32-91809,0.016s,29,System.oracle,AvgQLStat:mean,553.61733333333
queueLengthContinuityTest-30-20260130-16:06:32-91812,0.016s,30,System.oracle,AvgQLStat:mean,548.06511111111
queueLengthContinuityTest-31-20260130-16:06:32-91814,0.016s,31,System.oracle,AvgQLStat:mean,556.09177777778
queueLengthContinuityTest-32-20260130-16:06:33-91815,0.016s,32,System.oracle,AvgQLStat:mean,559.58866666667
queueLengthContinuityTest-33-20260130-16:06:33-91816,0.016s,33,System.oracle,AvgQLStat:mean,552.98133333333
queueLengthContinuityTest-34-20260130-16:06:33-91817,0.016s,34,System.oracle,AvgQLStat:mean,558.65177777778
