run,measurement,repetition,module,name,value
queueLengthContinuityTest-57-20260108-11:50:50-50218,0.014s,17,System.oracle,AvgQLStat:mean,640.71177777778
queueLengthContinuityTest-58-20260108-11:50:50-50219,0.014s,18,System.oracle,AvgQLStat:mean,633.95533333333
queueLengthContinuityTest-59-20260108-11:50:50-50220,0.014s,19,System.oracle,AvgQLStat:mean,641.986
queueLengthContinuityTest-20-20260108-11:50:42-50172,0.015s,0,System.oracle,AvgQLStat:mean,596.14066666667
queueLengthContinuityTest-21-20260108-11:50:42-50173,0.015s,1,System.oracle,AvgQLStat:mean,596.94066666667
queueLengthContinuityTest-22-20260108-11:50:42-50174,0.015s,2,System.oracle,AvgQLStat:mean,605.11844444444
queueLengthContinuityTest-23-20260108-11:50:43-50175,0.015s,3,System.oracle,AvgQLStat:mean,598.89333333333
queueLengthContinuityTest-24-20260108-11:50:43-50176,0.015s,4,System.oracle,AvgQLStat:mean,595.67755555556
queueLengthContinuityTest-25-20260108-11:50:43-50180,0.015s,5,System.oracle,AvgQLStat:mean,597.05111111111
queueLengthContinuityTest-26-20260108-11:50:43-50181,0.015s,6,System.oracle,AvgQLStat:mean,593.56866666667
queueLengthContinuityTest-27-20260108-11:50:43-50182,0.015s,7,System.oracle,AvgQLStat:mean,589.35622222222
queueLengthContinuityTest-28-20260108-11:50:44-50183,0.015s,8,System.oracle,AvgQLStat:mean,595.512
queueLengthContinuityTest-29-20260108-11:50:44-50184,0.015s,9,System.oracle,AvgQLStat:mean,586.47733333333
queueLengthContinuityTest-30-20260108-11:50:44-50185,0.015s,10,System.oracle,AvgQLStat:mean,590.02844444444
queueLengthContinuityTest-31-20260108-11:50:44-50186,0.015s,11,System.oracle,AvgQLStat:mean,597.20133333333
queueLengthContinuityTest-32-20260108-11:50:45-50187,0.015s,12,System.oracle,AvgQLStat:mean,591.98977777778
queueLengthContinuityTest-33-20260108-11:50:45-50188,0.015s,13,System.oracle,AvgQLStat:mean,590.31266666667
queueLengthContinuityTest-34-20260108-11:50:45-50189,0.015s,14,System.oracle,AvgQLStat:mean,602.58533333333
queueLengthContinuityTest-35-20260108-11:50:45-50190,0.015s,15,System.oracle,AvgQLStat:mean,606.17688888889
queueLengthContinuityTest-36-20260108-11:50:45-50191,0.015s,16,System.oracle,AvgQLStat:mean,595.71422222222
queueLengthContinuityTest-37-20260108-11:50:46-50192,0.015s,17,System.oracle,AvgQLStat:mean,593.68244444444
queueLengthContinuityTest-38-20260108-11:50:46-50193,0.015s,18,System.oracle,AvgQLStat:mean,586.558
queueLengthContinuityTest-39-20260108-11:50:46-50195,0.015s,19,System.oracle,AvgQLStat:mean,594.45311111111
queueLengthContinuityTest-0-20260108-11:50:38-50139,0.016s,0,System.oracle,AvgQLStat:mean,557.11555555556
queueLengthContinuityTest-1-20260108-11:50:38-50140,0.016s,1,System.oracle,AvgQLStat:mean,557.38533333333
queueLengthContinuityTest-2-20260108-11:50:38-50141,0.016s,2,System.oracle,AvgQLStat:mean,560.07
queueLengthContinuityTest-3-20260108-11:50:38-50142,0.016s,3,System.oracle,AvgQLStat:mean,556.30933333333
queueLengthContinuityTest-4-20260108-11:50:39-50143,0.016s,4,System.oracle,AvgQLStat:mean,552.51911111111
queueLengthContinuityTest-5-20260108-11:50:39-50144,0.016s,5,System.oracle,AvgQLStat:mean,549.50777777778
queueLengthContinuityTest-6-20260108-11:50:39-50146,0.016s,6,System.oracle,AvgQLStat:mean,557.63511111111
queueLengthContinuityTest-7-20260108-11:50:39-50149,0.016s,7,System.oracle,AvgQLStat:mean,552.40711111111
queueLengthContinuityTest-8-20260108-11:50:40-50150,0.016s,8,System.oracle,AvgQLStat:mean,555.93422222222
queueLengthContinuityTest-9-20260108-11:50:40-50151,0.016s,9,System.oracle,AvgQLStat:mean,545.95333333333
queueLengthContinuityTest-10-20260108-11:50:40-50153,0.016s,10,System.oracle,AvgQLStat:mean,545.41777777778
queueLengthContinuityTest-11-20260108-11:50:40-50157,0.016s,11,System.oracle,AvgQLStat:mean,556.23888888889
queueLengthContinuityTest-12-20260108-11:50:40-50161,0.016s,12,System.oracle,AvgQLStat:mean,551.13222222222
queueLengthContinuityTest-13-20260108-11:50:41-50165,0.016s,13,System.oracle,AvgQLStat:mean,546.02733333333
queueLengthContinuityTest-14-20260108-11:50:41-50166,0.016s,14,System.oracle,AvgQLStat:mean,562.704
